,word,likes,retweets,comments,n,avg_likes,avg_retweets,avg_comments,trafic,party
1,København,229,38,52,3,76,13,17,267,Socialistisk Folkeparti
2,fantastisk,71,16,17,2,36,8,8,87,Socialistisk Folkeparti
3,hovedstad,108,24,34,3,36,8,11,132,Socialistisk Folkeparti
4,problem,479,106,144,12,40,9,12,585,Socialistisk Folkeparti
5,Mange,512,72,87,5,102,14,17,584,Socialistisk Folkeparti
6,råd,57,11,16,2,28,6,8,68,Socialistisk Folkeparti
7,allesammens,30,6,13,1,30,6,13,36,Socialistisk Folkeparti
8,regering,3909,938,795,62,63,15,13,4847,Socialistisk Folkeparti
9,mulig,260,40,88,6,43,7,15,300,Socialistisk Folkeparti
10,almen,99,19,24,2,50,10,12,118,Socialistisk Folkeparti
11,Tak,2058,316,280,25,82,13,11,2374,Socialistisk Folkeparti
12,parti,1075,178,260,12,90,15,22,1253,Socialistisk Folkeparti
13,brede,225,39,84,4,56,10,21,264,Socialistisk Folkeparti
14,landbrugsaftale,19,3,0,1,19,3,0,22,Socialistisk Folkeparti
15,ambitiøs,550,116,87,10,55,12,9,666,Socialistisk Folkeparti
16,binde,105,22,18,2,52,11,9,127,Socialistisk Folkeparti
17,mål,1291,163,204,12,108,14,17,1454,Socialistisk Folkeparti
18,landbrug,106,21,25,5,21,4,5,127,Socialistisk Folkeparti
19,dkgreen,3287,656,698,63,52,10,11,3943,Socialistisk Folkeparti
20,dansk,2901,580,843,45,64,13,19,3481,Socialistisk Folkeparti
21,fagbevægelse,50,6,24,2,25,3,12,56,Socialistisk Folkeparti
22,stærk,319,59,88,6,53,10,15,378,Socialistisk Folkeparti
23,ansvar,427,50,185,4,107,12,46,477,Socialistisk Folkeparti
24,position,24,3,9,1,24,3,9,27,Socialistisk Folkeparti
25,fradrag,24,3,9,1,24,3,9,27,Socialistisk Folkeparti
26,fagforeningskontingent,24,3,9,1,24,3,9,27,Socialistisk Folkeparti
27,svar,144,28,44,3,48,9,15,172,Socialistisk Folkeparti
28,kritik,142,16,142,3,47,5,47,158,Socialistisk Folkeparti
29,arbejde,791,147,168,14,56,10,12,938,Socialistisk Folkeparti
30,særlig,280,41,97,4,70,10,24,321,Socialistisk Folkeparti
31,madspildsområdet,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
32,verden,500,98,114,11,45,9,10,598,Socialistisk Folkeparti
33,afkald,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
34,Anja,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
35,Philip,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
36,anledning,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
37,National,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
38,Madspildsdag,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
39,stopmadspild,4,1,4,1,4,1,4,5,Socialistisk Folkeparti
40,Køreplanen,35,7,15,1,35,7,15,42,Socialistisk Folkeparti
41,nem,334,66,90,5,67,13,18,400,Socialistisk Folkeparti
42,klimamål,163,37,31,3,54,12,10,200,Socialistisk Folkeparti
43,Når,10,1,1,1,10,1,1,11,Socialistisk Folkeparti
44,erhvervsredaktør,10,1,1,1,10,1,1,11,Socialistisk Folkeparti
45,coronakrisen,213,37,58,4,53,9,14,250,Socialistisk Folkeparti
46,hård,381,68,182,5,76,14,36,449,Socialistisk Folkeparti
47,erhvervsliv,124,23,33,4,31,6,8,147,Socialistisk Folkeparti
48,Herzlichen,85,8,8,1,85,8,8,93,Socialistisk Folkeparti
49,Glückwünsch,85,8,8,1,85,8,8,93,Socialistisk Folkeparti
